kinesis_token	ui_representation	usage_name	token_category
khD7	+/-	keypad +/-  	Keyboard Tokens
khD8	Clear	keypad Clear  	Keyboard Tokens
khD9	ClearEntry	keypad Clear Entry 	Keyboard Tokens
khDA	Binary	keypad Binary  	Keyboard Tokens
khDB	Octal	keypad Octal  	Keyboard Tokens
khDC	Decimal	keypad Decimal  	Keyboard Tokens
khDD	Hex	keypad Hexadecimal  	Keyboard Tokens
lctr	LCtrl	left control  	Keyboard Tokens
lshf	LShift	left shift  	Keyboard Tokens
lalt	LAlt	left alt  	Keyboard Tokens
lwin	LGUI	left gui  	Keyboard Tokens
rctr	RCtrl	right control  	Keyboard Tokens
rshf	RShift	right shift  	Keyboard Tokens
ralt	RAlt	right alt  	Keyboard Tokens
rwin	RGUI	right gui  	Keyboard Tokens
next	ScnNxt	scan next	Consumer Tokens
prev	ScnPrv	scan prev	Consumer Tokens
play	Play	play	Consumer Tokens
stop	Stop	stop	Consumer Tokens
mute	Mute	mute	Consumer Tokens
vol+	VolUp	volume up	Consumer Tokens
vol-	VolDn	volume down	Consumer Tokens
fwrd	Fwd	forward	Consumer Tokens
rewd	Rwnd	rewind	Consumer Tokens
cpau	Pause	pause	Consumer Tokens
ejct	Eject	eject	Consumer Tokens
plpa	Play/Pause	play/pause	Consumer Tokens
recr	Record	record	Consumer Tokens
ranp	RandPlay	random play	Consumer Tokens
plsk	Play/Skip	play/skip	Consumer Tokens
calc	Calculator	calculator	Consumer Tokens
mmut	MicMute	microphone mute	Consumer Tokens
pwdn	SysOff	system power down	System Tokens
lmou	LClick	mouse button left click	Mouse Tokens
rmou	RClick	mouse button right click	Mouse Tokens
mmou	MClick	mouse button middle click	Mouse Tokens
4mou	4Click	mouse button 4 click	Mouse Tokens
5mou	5Click	mouse button 5 click	Mouse Tokens
sumo	ScrlUp	mouse scroll up	Mouse Tokens
sdmo	CrlDn	mouse scroll down	Mouse Tokens
moul	MouseL	mouse move left	Mouse Tokens
mour	MouseR	mouse move right	Mouse Tokens
mouu	MouseU	mouse move up	Mouse Tokens
moud	MouseD	mouse move down	Mouse Tokens
null	null	no action	Custom Tokens
ss	SmartSet	smartset	Custom Tokens
ledt	LEDToggle	led toggle on/off	Custom Tokens
led+	LEDup	led brightness up	Custom Tokens
led-	LEDdn	led brightness down	Custom Tokens
Defs	DefaultLShift	Default layer shift	Custom Tokens
Deft	DefaultLToggle	Default layer toggle	Custom Tokens
keys	KpLShift	keypad layer shift	Custom Tokens
keyt	KpLToggle	keypad layer toggle	Custom Tokens
fn1s	Fn1LShift	fn1 layer shift	Custom Tokens
fn1t	Fn1LToggle	fn1 layer toggle	Custom Tokens
fn2s	Fn2LShift	fn2 layer shift	Custom Tokens
fn2t	Fn2LToggle	fn2 layer toggle	Custom Tokens
fn3s	Fn3LShift	fn3 layer shift	Custom Tokens
fn3t	Fn3LToggle	fn3 layer toggle	Custom Tokens
mstp	StopMacro	stop macro playback	Custom Tokens
hypr	Hyper	hyper	Custom Tokens
meh	Meh	meh	Custom Tokens
pro0	Prof0	load profile 0	Custom Tokens
pro1	Prof1	load profile 1	Custom Tokens
pro2	Prof2	load profile 2	Custom Tokens
pro3	Prof3	load profile 3	Custom Tokens
pro4	Prof4	load profile 4	Custom Tokens
pro5	Prof5	load profile 5	Custom Tokens
pro6	Prof6	load profile 6	Custom Tokens
pro7	Prof7	load profile 7	Custom Tokens
pro8	Prof8	load profile 8	Custom Tokens
pro9	Prof9	load profile 9	Custom Tokens
caws	Ctrl+Alt+Win+Shift	control + alt + win + shift	Custom Tokens
xaws	Ctrl+Alt+Win	control + alt + win	Custom Tokens
cxws	Ctrl+Win+Shift	control + win + shift	Custom Tokens
caxs	Ctrl+Alt+Shift	control + alt + shift	Custom Tokens
cawx	Alt+Win+Shift	alt + win + shift	Custom Tokens
caxx	Ctrl+Alt	control + alt	Custom Tokens
cxwx	Ctrl+Win	control + win	Custom Tokens
cxxs	Ctrl+Shift	control + shift	Custom Tokens
xawx	Alt+Win	alt + win	Custom Tokens
xaxs	Alt+Shift	alt + shift	Custom Tokens
xxws	Win+Shift	win + shift	Custom Tokens
