token_category,kinesis_token,usage_name,ui_representation
Keyboard Tokens,khBD,keypad B,B
Keyboard Tokens,khBE,keypad C,C
Keyboard Tokens,khBF,keypad D,D
Keyboard Tokens,khC0,keypad E,E
Keyboard Tokens,khC1,keypad F,F
Keyboard Tokens,khC2,keypad XOR,XOR
Keyboard Tokens,khC3,keypad ^,"^"
Keyboard Tokens,khC4,keypad %,"%"
Keyboard Tokens,khC5,keypad <,"<"
Keyboard Tokens,khC6,keypad >,">"
Keyboard Tokens,khC7,keypad &,"&"
Keyboard Tokens,khC8,keypad &&,"&&"
Keyboard Tokens,khC9,keypad |,"|"
Keyboard Tokens,khCA,keypad ||,"||"
Keyboard Tokens,khCB,keypad:],":"
Keyboard Tokens,khCC,keypad #,"#"
Keyboard Tokens,khCD,keypad Space,Space
Keyboard Tokens,khCE,keypad @,"@"
Keyboard Tokens,khCF,keypad !,"!"
Keyboard Tokens,khD0,keypad Memory Store],MemStore
Keyboard Tokens,khD1,keypad Memory Recall],MemRecall
Keyboard Tokens,khD2,keypad Memory Clear],MemClr
Keyboard Tokens,khD3,keypad Memory Add],MemAdd
Keyboard Tokens,khD4,keypad Memory Subtract],MemSub
Keyboard Tokens,khD5,keypad Memory Multiply],MemMult
Keyboard Tokens,khD6,keypad Memory Divide],MemDiv
Keyboard Tokens,khD7,keypad +/-,"+/-"
Keyboard Tokens,khD8,keypad Clear,Clear
Keyboard Tokens,khD9,keypad Clear Entry],ClearEntry
Keyboard Tokens,khDA,keypad Binary,Binary
Keyboard Tokens,khDB,keypad Octal,Octal
Keyboard Tokens,khDC,keypad Decimal,Decimal
Keyboard Tokens,khDD,keypad Hexadecimal,Hex
Keyboard Tokens,lctr,left control,LCtrl
Keyboard Tokens,lshf,left shift,LShift
Keyboard Tokens,lalt,left alt,LAlt
Keyboard Tokens,lwin,left gui,LGUI
Keyboard Tokens,rctr,right control,RCtrl
Keyboard Tokens,rshf,right shift,RShift
Keyboard Tokens,ralt,right alt,RAlt
Keyboard Tokens,rwin,right gui,RGUI
Consumer Tokens,next,scan next,ScnNxt
Consumer Tokens,prev,scan prev,ScnPrv
Consumer Tokens,play,play,Play
Consumer Tokens,stop,stop,Stop
Consumer Tokens,mute,mute,Mute
Consumer Tokens,vol+,volume up,VolUp
Consumer Tokens,vol-,volume down,VolDn
Consumer Tokens,fwrd,forward,Fwd
Consumer Tokens,rewd,rewind,Rwnd
Consumer Tokens,cpau,pause,Pause
Consumer Tokens,ejct,eject,Eject
Consumer Tokens,plpa,play/pause,Play/Pause
Consumer Tokens,recr,record,Record
Consumer Tokens,ranp,random play,RandPlay
Consumer Tokens,plsk,play/skip,Play/Skip
Consumer Tokens,calc,calculator,Calculator
Consumer Tokens,mmut,microphone mute,MicMute
System Tokens,pwdn,system power down,SysOff
Mouse Tokens,lmou,mouse button left click,LClick
Mouse Tokens,rmou,mouse button right click,RClick
Mouse Tokens,mmou,mouse button middle click,MClick
Mouse Tokens,4mou,mouse button 4 click,4Click
Mouse Tokens,5mou,mouse button 5 click,5Click
Mouse Tokens,sumo,mouse scroll up,ScrlUp
Mouse Tokens,sdmo,mouse scroll down,CrlDn
Mouse Tokens,moul,mouse move left,MouseL
Mouse Tokens,mour,mouse move right,MouseR
Mouse Tokens,mouu,mouse move up,MouseU
Mouse Tokens,moud,mouse move down,MouseD
Custom Tokens,null,no action,null
Custom Tokens,ss,smartset,SmartSet
Custom Tokens,ledt,led toggle on/off,LEDToggle
Custom Tokens,led+,led brightness up,LEDup
Custom Tokens,led-,led brightness down,LEDdn
Custom Tokens,Defs,Default layer shift,DefaultLShift
Custom Tokens,Deft,Default layer toggle,DefaultLToggle
Custom Tokens,keys,keypad layer shift,KpLShift
Custom Tokens,keyt,keypad layer toggle,KpLToggle
Custom Tokens,fn1s,fn1 layer shift,Fn1LShift
Custom Tokens,fn1t,fn1 layer toggle,Fn1LToggle
Custom Tokens,fn2s,fn2 layer shift,Fn2LShift
Custom Tokens,fn2t,fn2 layer toggle,Fn2LToggle
Custom Tokens,fn3s,fn3 layer shift,Fn3LShift
Custom Tokens,fn3t,fn3 layer toggle,Fn3LToggle
Custom Tokens,mstp,stop macro playback,StopMacro
Custom Tokens,hypr,hyper,Hyper
Custom Tokens,meh,meh,Meh
Custom Tokens,pro0,load profile 0,Prof0
Custom Tokens,pro1,load profile 1,Prof1
Custom Tokens,pro2,load profile 2,Prof2
Custom Tokens,pro3,load profile 3,Prof3
Custom Tokens,pro4,load profile 4,Prof4
Custom Tokens,pro5,load profile 5,Prof5
Custom Tokens,pro6,load profile 6,Prof6
Custom Tokens,pro7,load profile 7,Prof7
Custom Tokens,pro8,load profile 8,Prof8
Custom Tokens,pro9,load profile 9,Prof9
Custom Tokens,caws,control + alt + win + shift,"Ctrl+Alt+Win+Shift"
Custom Tokens,xaws,control + alt + win,"Ctrl+Alt+Win"
Custom Tokens,cxws,control + win + shift,"Ctrl+Win+Shift"
Custom Tokens,caxs,control + alt + shift,"Ctrl+Alt+Shift"
Custom Tokens,cawx,alt + win + shift,"Alt+Win+Shift"
Custom Tokens,caxx,control + alt,"Ctrl+Alt"
Custom Tokens,cxwx,control + win,"Ctrl+Win"
Custom Tokens,cxxs,control + shift,"Ctrl+Shift"
Custom Tokens,xawx,alt + win,"Alt+Win"
Custom Tokens,xaxs,alt + shift,"Alt+Shift"
Custom Tokens,xxws,win + shift,"Win+Shift"
